hour,price_eur_mwh,wind_onshore,wind_offshore,solar,ror,biomass,lignite,hardcoal,ccgt_new,ccgt_exist,ocgt,oil,net_import_mwh,load_shed_mwh,storage_soc_mwh
85,117.87894736842105,13385.315476190475,8261.005434782606,6988.73625,1733.625,8000.0,-0.0,8000.0,10000.0,20000.0,-0.0,-0.0,-0.0,-0.0,72938.29923744735
86,117.87894736842105,13158.601190476184,9025.679347826086,2439.9275,1764.75,8000.0,-0.0,8000.0,10000.0,20000.0,-0.0,-0.0,-0.0,-0.0,62422.23110681267
87,117.87894736842105,14759.611111111106,9003.913043478262,150.87625,1781.4250000000002,8000.0,6612.726485223888,8000.0,10000.0,20000.0,-0.0,-0.0,-0.0,-0.0,55197.03693933943
88,117.87894736842105,15947.99007936508,8576.413043478258,30.04625,1818.025,8000.0,9000.0,8000.0,10000.0,20000.0,-0.0,-0.0,-0.0,-0.0,47917.31678316134
89,117.87894736842105,17337.573412698406,8033.559782608695,24.02625,1820.0999999999995,8000.0,-0.0,8000.0,10000.0,20000.0,-0.0,-0.0,-0.0,-0.0,31081.56768673929
90,117.87894736842105,18876.017857142855,7166.49456521739,14.99625,1803.675,8000.0,-0.0,8000.0,10000.0,20000.0,-0.0,-0.0,-0.0,-0.0,17471.526066945695
91,117.87894736842105,18850.325396825392,6217.5,15.10375,1701.925,8000.0,-0.0,8000.0,10000.0,20000.0,-0.0,-0.0,-0.0,-0.0,7871.040503260958
92,117.87894736842105,18437.009920634908,7214.103260869563,14.297500000000001,1687.15,8000.0,-0.0,8000.0,10000.0,20000.0,-0.0,-0.0,-0.0,-0.0,3237.5867807926275
93,117.87894736842105,17544.57341269841,8083.777173913044,-0.0,1635.3499999999997,8000.0,-0.0,8000.0,10000.0,20000.0,-0.0,-0.0,-0.0,-0.0,0.0
94,115.3906976744186,16799.309523809527,7517.282608695654,-0.0,1638.375,8000.0,-0.0,7926.643050861829,10000.0,20000.0,-0.0,-0.0,-0.0,-0.0,0.0
95,115.3906976744186,15096.898809523804,6775.190217391302,-0.0,1622.05,8000.0,-0.0,6607.783905554905,10000.0,20000.0,-0.0,-0.0,-0.0,-0.0,0.0
96,115.3906976744186,15139.97817460317,6011.331521739129,-0.0,1634.825,8000.0,-0.0,3220.856375719479,10000.0,20000.0,-0.0,-0.0,-0.0,-0.0,0.0
97,115.3906976744186,14869.865079365078,5189.347826086956,-0.0,1644.275,8000.0,-0.0,2394.262399466952,10000.0,20000.0,-0.0,-0.0,-0.0,-0.0,0.0
98,115.3906976744186,14116.25,3633.668478260868,-0.0,1625.1499999999999,8000.0,-0.0,3851.2520065714198,10000.0,20000.0,-0.0,-0.0,-0.0,-0.0,0.0
99,115.3906976744186,14841.799603174604,3397.0108695652166,6.342499999999999,1644.475,8000.0,-0.0,2944.4067621924914,10000.0,20000.0,-0.0,-0.0,-0.0,-0.0,0.0
100,104.21153846153845,17200.714285714275,4562.11956521739,12.41625,1674.05,8000.0,-0.0,-0.0,10000.0,19990.18821952866,-0.0,-0.0,-0.0,-0.0,0.0
101,104.21153846153845,19592.39484126984,7200.978260869563,12.09375,1710.075,8000.0,-0.0,-0.0,10000.0,16775.707464685747,-0.0,-0.0,-0.0,-0.0,0.0
102,104.21153846153845,22736.27579365079,11661.27717391304,14.512500000000001,1714.25,8000.0,-0.0,-0.0,10000.0,11110.815689331786,-0.0,-0.0,-0.0,-0.0,0.0
103,104.21153846153845,27798.009920634922,15697.581521739128,92.5574999999785,1718.5500000000002,8000.0,-0.0,-0.0,10000.0,6373.089316817157,-0.0,-0.0,-0.0,-0.0,0.0
104,104.21153846153845,32073.63690476191,17820.652173913044,714.17625,1767.725,8000.0,-0.0,-0.0,10000.0,5263.939951905762,-0.0,-0.0,-0.0,-0.0,0.0
105,104.21153846153845,36659.626984126975,19566.929347826084,1910.6512499999785,1779.6999999999998,8000.0,-0.0,-0.0,10000.0,1498.6400236954578,-0.0,-0.0,-0.0,-0.0,0.0
106,104.21153846153845,39828.37896825397,19991.57608695652,3198.6625,1804.25,8000.0,-0.0,-0.0,10000.0,762.791801514577,-0.0,-0.0,-0.0,-0.0,0.0
107,90.85000000000001,41552.374999999985,19949.184782608696,4150.62875,1874.5499999999995,8000.0,-0.0,-0.0,8813.931298944815,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
108,90.85000000000001,43224.52976190476,20460.16304347826,4126.76375,1848.325,8000.0,-0.0,-0.0,4111.7797404965095,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
109,90.85000000000001,46600.875,18955.271739130436,2850.3625,1888.125,8000.0,-0.0,-0.0,2094.967386876291,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
