hour,price_eur_mwh,wind_onshore,wind_offshore,solar,ror,biomass,lignite,hardcoal,ccgt_new,ccgt_exist,ocgt,oil,net_import_mwh,load_shed_mwh,storage_soc_mwh
7817,115.3906976744186,33996.50992063492,17191.630434782608,81.3775,1448.025,8000.0,-0.0,-0.0,0.0,20000.0,-0.0,-0.0,-0.0,-0.0,2695.68682386985
7818,115.3906976744186,37024.84325396825,16971.603260869564,39.72125,1335.675,8000.0,-0.0,7414.444333841566,0.0,20000.0,-0.0,-0.0,-0.0,-0.0,2695.68682386985
7819,115.3906976744186,38188.442460317456,16545.978260869568,17.9525,1315.1749999999995,8000.0,-0.0,-0.0,0.0,20000.0,-0.0,-0.0,-0.0,-0.0,0.0
7820,104.21153846153845,37853.847222222226,16221.032608695652,40.473749999999995,1311.9,8000.0,-0.0,-0.0,0.0,19472.626491560215,-0.0,-0.0,-0.0,-0.0,0.0
7821,104.21153846153845,35517.75,16230.489130434784,-0.0,1297.3249999999994,8000.0,-0.0,-0.0,0.0,19479.54377423774,-0.0,-0.0,-0.0,-0.0,0.0
7822,104.21153846153845,35267.25992063491,15790.271739130438,-0.0,1260.25,8000.0,-0.0,-0.0,0.0,16532.452899835138,-0.0,-0.0,-0.0,-0.0,0.0
7823,104.21153846153845,34487.54166666666,14357.445652173912,-0.0,1245.25,8000.0,-0.0,-0.0,0.0,13804.109651828992,-0.0,-0.0,-0.0,-0.0,0.0
7824,104.21153846153845,33284.92460317459,12651.440217391306,-0.0,1239.0249999999994,8000.0,-0.0,-0.0,0.0,14561.878209403258,-0.0,-0.0,-0.0,-0.0,0.0
7825,104.21153846153845,33021.88492063492,13905.65217391304,-0.0,1238.25,8000.0,-0.0,-0.0,0.0,12094.159588695788,-0.0,-0.0,-0.0,-0.0,0.0
7826,104.21153846153845,32964.06547619047,15353.967391304348,-0.0,1238.825,8000.0,-0.0,-0.0,0.0,10179.2747522719,-0.0,-0.0,-0.0,-0.0,0.0
7827,104.21153846153845,33553.07539682539,15891.358695652176,9.513750000000002,1256.15,8000.0,-0.0,-0.0,0.0,9231.465653295018,-0.0,-0.0,-0.0,-0.0,0.0
7828,104.21153846153845,34618.97023809524,14454.375,19.18875,1240.0,8000.0,-0.0,-0.0,0.0,9638.189086630751,-0.0,-0.0,-0.0,-0.0,0.0
7829,104.21153846153845,36734.42261904762,15719.918478260868,21.01625,1244.3499999999995,8000.0,-0.0,-0.0,0.0,7717.717002208694,-0.0,-0.0,-0.0,-0.0,0.0
7830,104.21153846153845,37211.76388888889,15994.320652173914,146.73749999999998,1240.8499999999995,8000.0,-0.0,-0.0,0.0,10260.678339330363,-0.0,-0.0,-0.0,-0.0,0.0
7831,104.21153846153845,37050.307539682544,18389.67391304348,5908.57625,1260.5,8000.0,-0.0,-0.0,0.0,6945.459153048076,-0.0,-0.0,-0.0,-0.0,0.0
7832,104.21153846153845,34545.49801587302,18901.222826086956,19131.39875,1236.15,8000.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1141.3196223266182
